created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Sep 21 07:52:06 +0000 2022;1572493860697436161;"Kalau Puan Optimis menang Pemilu 2024. Kalau Gue dan temen-temen gue se Indonesia Optimis PDIP kalah telak dalam Pemilu 2024. Iya gak temen-temen gue se Indonesia???😂 https://t.co/VFGyZtTKRd https://t.co/CRGmTHzG5r";26;234;126;746;in;744575917;1572493860697436161;IMCMushroom;https://twitter.com/IMCMushroom/status/1572493860697436161
Wed Sep 21 02:18:45 +0000 2022;1572409969529753600;"Orang kalah selalu mencari kesalahan lawan. Bagaimana mau curang, orang beda suaranya 40 juta lebih. Waktu itu MK juga memutuskan tidak ada kecurangan di pemilu 2009. Ketua MK-nya Mahfud MD, menteri Jokowi. Silakan aja dibuka kecurangannya kalau ada. https://t.co/upCVeqbrNx";25;162;493;1790;in;82042655;1572409969529753600;panca66;https://twitter.com/panca66/status/1572409969529753600
Tue Sep 20 23:40:40 +0000 2022;1572370186547896320;"Optimis Menang Pemilu 2024, Puan: Kita PDIP Bersama Wong Cilik!  Klo beneran menang berarti msh banyak yg jd WONG CILIK.  Klo wong ciliknya msh byk trus 2 periode berkuasa memperjuangkan nasib WONG opo? 😂 https://t.co/kyD1dfkT38";26;310;95;386;in;1466651308102877187;1572370186547896320;papa_loren;https://twitter.com/papa_loren/status/1572370186547896320
Tue Sep 20 14:58:18 +0000 2022;1572238728952967168;"Kata Pak SBY "saya turun gunung karena ada tanda-tanda Pemilu 2024 bisa tidak jujur dan tidak adil"   Saya jadi teringat kata-kata Pak SBY dulu "jangan-jangan orang yg sering menuduh pemilu curang dulunya sering curang"  #SekedarMengingatkan 🙏 https://t.co/2534ZNgJZ7";73;313;344;1306;in;45602536;1572238728952967168;GunRomli;https://twitter.com/GunRomli/status/1572238728952967168
Tue Sep 20 12:27:24 +0000 2022;1572200753489661953;"Sepertinya pemilu 2019 jadi pemilu terakhir saya pilih @PDI_Perjuangan.  Yang sama komentar dong... 😉  https://t.co/WKv2Pozvnm";45;527;170;1093;in;1101696077147729920;1572200753489661953;03__nakula;https://twitter.com/03__nakula/status/1572200753489661953
Tue Sep 20 02:04:59 +0000 2022;1572044117588480003;"Pernyataan Pak SBY bahwa ada peluang pemilu tidak jujur, bagus sekali membuat kita semua waspada. Jk ada isu 3 periode, isu wapres, isu macam2, justru semua harus waspada krn di lapangan memang msh ditemukan kecurangan. Pak SBY bagus peringatkan kita semua https://t.co/ewaAtgG5sv";21;273;176;878;in;122020937;1572044117588480003;MardaniAliSera;https://twitter.com/MardaniAliSera/status/1572044117588480003
Mon Sep 19 13:23:09 +0000 2022;1571852394488553477;"Rizal Fadillah: Diduga, Tito Karnavian Mempersiapkan Rekayasa Pemilu 2024 https://t.co/XP9kCE3DuH";120;450;1525;3969;in;1226436091617505281;1571852394488553477;keuangannews_id;https://twitter.com/keuangannews_id/status/1571852394488553477
Mon Sep 19 06:43:46 +0000 2022;1571751890014318593;"Kemenangan PDIP dalam dua kali Pemilu terakhir bukan sepenuhnya karena kekuatan kadernya, tapi sumbangsih dari masa mengambang yang bersimpati dan merasa aspirasinya akan diakomodasi.  "Partai wong cilik kok jadi bergaya feodal? Jangan kebanyakan gaya deh. Ntar nyungsep!"  🤣🤣🤣 https://t.co/sXZY6lGP9m";45;287;255;1290;in;978113148707160064;1571751890014318593;SeruniPuspaAlam;https://twitter.com/SeruniPuspaAlam/status/1571751890014318593
Mon Sep 19 02:30:01 +0000 2022;1571688029122859010;"Sinyal kesiapan Gubernur DKI Jakarta Anies Baswedan untuk maju sebagai calon presiden pada Pemilu Serentak 2024, disambut hangat Partai Keadilan Sejahtera (PKS).  https://t.co/E7fKtfEqv1 https://t.co/S9xJyc6SuV";18;139;228;1497;in;1185767973111263233;1571688029122859010;abwnews_;https://twitter.com/abwnews_/status/1571688029122859010
Sun Sep 18 23:27:56 +0000 2022;1571642208780169217;"Hasto: SBY Tak Bijak, Pemilu 2009 Puncak Kecurangan dalam Sejarah Demokrasi.  Papa: Pemilu 2019 bs jd pemilu yg paling mencekam &amp  penuh kelucuan sepanjang sejarah, 894 petugas kpps MENINGGAL &amp  org GILA ikut memilih.  Mana yg lbh nyata? https://t.co/cK0X7lhsb1";17;105;332;1002;in;1466651308102877187;1571642208780169217;papa_loren;https://twitter.com/papa_loren/status/1571642208780169217
Sun Sep 18 13:13:27 +0000 2022;1571487568994390019;"Kok gini amat sih??  PDIP Jateng Gelar Acara Persiapan Pemilu 2024 Dihadiri Puan, Ganjar Tak Diundang  Ganjar Pranowo kembali tidak mendapat undangan resmi dari pengurus PDI Perjuangan untuk menghadiri serangkaian acara persiapan pemenangan Pemilu 2024 https://t.co/iaQUfeUpxZ";16;110;49;207;in;435004096;1571487568994390019;Aryprasetyo85;https://twitter.com/Aryprasetyo85/status/1571487568994390019
Sun Sep 18 01:39:48 +0000 2022;1571313003605426178;"Maaf, bukannya mau menggurui, tp pernyataan saya ini berdasarkan fakta, kalo parpol ingin mendulang suara yg banyak di Pemilu 2024, usung Pak @aniesbaswedan sbg Capres lwt partai anda, kalo gak, kalian akan kehilangan momentum baik ini &amp  kalian akan menyesal 😎 https://t.co/MZDhDHucl8";22;118;118;532;in;1497524340148948994;1571313003605426178;ElangPutihTeam;https://twitter.com/ElangPutihTeam/status/1571313003605426178
Sat Sep 17 17:10:43 +0000 2022;1571184888061071361;"Ketua Majelis Tinggi Partai Demokrat Susilo Bambang Yudhoyono (SBY) menduga adanya upaya agar Pemilu 2024 berlangung tidak jujur dan tidak adil. https://t.co/T7Ubtg3bxv";67;299;205;1794;in;69183155;1571184888061071361;detikcom;https://twitter.com/detikcom/status/1571184888061071361
Sat Sep 17 12:54:36 +0000 2022;1571120437446447113;"SBY Sebut Ada Tanda Pemilu 2024 Tidak Jujur dan Adil, Siapa Dalangnya? https://t.co/ePZL6nZU1F";17;129;173;795;in;30201110;1571120437446447113;alisyarief;https://twitter.com/alisyarief/status/1571120437446447113
Sat Sep 17 03:30:00 +0000 2022;1570978349157126144;"Provokasi massa 411-212, baper krn grasi Antasari, cucunya menulis surat ke pak Jokowi utk lockdown, isu buruh/UU Ciptaker, aksi unggas kampus dll, setiap isu ditunggangi, begitu gagal pura² isoman (covid 19), pun kanker prostat, kini provokasi ttg pemilu 2024 yg konon ini itu. https://t.co/lxiIWq79sb";13;132;318;1182;in;1159689173340585984;1570978349157126144;__AnakKolong;https://twitter.com/__AnakKolong/status/1570978349157126144
Sat Sep 17 00:31:57 +0000 2022;1570933539834822656;"kalkulasi kilat dari twit ini 90% jawabannya warga jabar memimpikan sistem transportasi yang baik sehiin66aaa kesimpulannya adalah untuk pemilu depan pencitraan bidang agama agaaga kurang evektiv . . #twitpolitik #orsun4president";18;74;282;523;in;231595607;1570933539834822656;otonqkoil;https://twitter.com/otonqkoil/status/1570933539834822656
